Date,Ticker,MOM_1M,MOM_3M,MOM_6M,MOM_12M,VOL_1M_STD,VOL_3M_STD,SMA50,SMA200,PriceToSMA50,PriceToSMA200
2022-08-19,MCD,0.05027895278246848,0.1573293126849643,0.07142477947529065,0.13856462264759706,0.010010927809409412,0.011306805095018557,237.59862854003907,234.49895133972169,1.0531415622315334,1.0670623020493697
2022-08-19,MMM,0.09085569392195753,-0.0018383099062095928,-0.003149961403259177,-0.2511370590578464,0.01566027232233911,0.014618575499536008,101.81625442504883,113.5394091796875,1.0688940412633847,0.9585287473748941
2022-08-19,MRK,0.021293742104026715,0.008042247541624577,0.2042053593615232,0.19543969204273556,0.008953062772835457,0.01292433856615332,83.47544784545899,76.78890068054199,1.0205533369321154,1.1094200606543265
2022-08-19,MSFT,0.07951078966130383,0.12469371338528057,-0.01143237566673387,-0.028101030957511354,0.02036259481115651,0.019788246166842573,260.9373599243164,286.1536178588867,1.0737320977299691,0.9791133201252138
2022-08-19,NKE,0.01370252109422014,0.06369567484142508,-0.22788880150194468,-0.3725138354804069,0.021303068634171026,0.02505674947194315,105.49324401855469,128.3617653274536,1.0297570157476912,0.8462988013990478
2022-08-19,PG,0.061706085397984015,0.061592273287950625,-0.05314909203561904,0.05579919190571507,0.017820208377042075,0.015375123289093896,133.3452117919922,140.1102815246582,1.047982770577911,0.997382083430306
2022-08-19,TRV,0.09604599069044327,0.024835135828923487,0.022482314884725366,0.10112868991254792,0.012005935763594268,0.015223463547238915,155.2173114013672,157.39708137512207,1.052277473583484,1.037704631311337
2022-08-19,UNH,0.04831045391733494,0.1396581375721715,0.15991777907967117,0.2612674474865304,0.00811943676894646,0.016162216985320232,495.4403930664063,471.88587417602537,1.0623230491279152,1.1153496593693493
2022-08-19,V,-0.013941238489429285,0.07713615854902828,-0.050240991637582284,-0.07737310558061423,0.012315140242794587,0.01720932172913339,201.86112854003906,205.89305923461913,1.0339935951179018,1.0137452655741437
2022-08-19,VZ,-0.07040264929946889,-0.08766651024445837,-0.1628805177296531,-0.17196022693325344,0.018840974129921913,0.014908508757810812,39.815146408081056,41.50039688110351,0.9266726440352964,0.8890422686880058
2022-08-19,WBA,0.005554349890676894,-0.04884124190406768,-0.17924532641676671,-0.1752793476162832,0.017308510119970748,0.018358825841411495,33.22187068939209,37.740986337661745,0.9805493464927482,0.8631381093832917
2022-08-19,WMT,0.037512791148207,0.14476121473664266,-0.0016490291011132274,-0.07538881427711636,0.02611645271926717,0.018275917495093236,40.81620704650879,44.27200956344605,1.0820721392491874,0.997607312393608
2022-08-26,AAPL,0.04046187519887383,0.13065035200085065,-0.004633367846254657,0.10903524185123209,0.017676902178842192,0.02007150714989902,152.27642395019532,158.3424284362793,1.0603846869136995,1.019761978702667
